date,day_of_week,menu_type,students_expected,students_served,meals_prepared,meals_consumed,leftover_meals
2025-01-01,Wednesday,Lunch,262,254,283,247,36
2025-01-02,Thursday,Special,290,242,261,232,29
2025-01-03,Friday,Lunch,263,243,249,238,11
2025-01-04,Saturday,Special,140,118,123,113,10
2025-01-05,Sunday,Regular,71,63,66,61,5
2025-01-06,Monday,Lunch,201,174,185,168,17
2025-01-07,Tuesday,Special,234,206,236,199,37
2025-01-08,Wednesday,Breakfast,234,198,203,197,6
2025-01-09,Thursday,Special,246,216,220,206,14
2025-01-10,Friday,Breakfast,204,171,185,161,24
2025-01-11,Saturday,Special,152,143,153,136,17
2025-01-12,Sunday,Special,80,75,85,74,11
2025-01-13,Monday,Breakfast,138,120,131,116,15
2025-01-14,Tuesday,Lunch,221,211,235,205,30
2025-01-15,Wednesday,Special,217,187,203,177,26
2025-01-16,Thursday,Regular,174,144,165,142,23
2025-01-17,Friday,Lunch,267,219,246,215,31
2025-01-18,Saturday,Breakfast,114,104,118,101,17
2025-01-19,Sunday,Breakfast,50,45,47,42,5
2025-01-20,Monday,Special,215,199,218,190,28
2025-01-21,Tuesday,Regular,194,170,194,168,26
2025-01-22,Wednesday,Special,196,184,199,178,21
2025-01-23,Thursday,Special,193,171,178,169,9
2025-01-24,Friday,Lunch,272,247,274,234,40
2025-01-25,Saturday,Breakfast,66,56,57,53,4
2025-01-26,Sunday,Lunch,71,68,76,66,10
2025-01-27,Monday,Lunch,165,156,162,154,8
2025-01-28,Tuesday,Lunch,234,222,252,212,40
2025-01-29,Wednesday,Regular,256,219,235,216,19
2025-01-30,Thursday,Breakfast,238,201,218,194,24
2025-01-31,Friday,Breakfast,227,198,226,189,37
2025-02-01,Saturday,Regular,151,125,131,119,12
2025-02-02,Sunday,Special,100,86,90,81,9
2025-02-03,Monday,Special,283,250,256,240,16
2025-02-04,Tuesday,Breakfast,111,93,100,92,8
2025-02-05,Wednesday,Breakfast,168,139,148,132,16
2025-02-06,Thursday,Lunch,197,176,202,169,33
2025-02-07,Friday,Lunch,271,258,273,245,28
2025-02-08,Saturday,Lunch,102,88,92,86,6
2025-02-09,Sunday,Lunch,68,62,64,60,4
2025-02-10,Monday,Special,215,181,192,171,21
2025-02-11,Tuesday,Breakfast,133,123,129,116,13
2025-02-12,Wednesday,Regular,271,244,257,243,14
2025-02-13,Thursday,Regular,171,164,180,157,23
2025-02-14,Friday,Breakfast,223,213,240,205,35
2025-02-15,Saturday,Lunch,132,126,143,124,19
2025-02-16,Sunday,Lunch,89,81,86,80,6
2025-02-17,Monday,Regular,184,159,168,154,14
2025-02-18,Tuesday,Lunch,194,189,197,177,20
2025-02-19,Wednesday,Regular,173,146,155,143,12
2025-02-20,Thursday,Regular,226,196,213,190,23
2025-02-21,Friday,Breakfast,204,175,200,168,32
2025-02-22,Saturday,Lunch,153,140,157,135,22
2025-02-23,Sunday,Breakfast,57,48,53,45,8
2025-02-24,Monday,Lunch,194,179,186,178,8
2025-02-25,Tuesday,Special,282,271,302,270,32
2025-02-26,Wednesday,Regular,252,228,249,227,22
2025-02-27,Thursday,Breakfast,227,200,226,191,35
2025-02-28,Friday,Regular,177,156,176,155,21
2025-03-01,Saturday,Lunch,145,123,136,118,18
2025-03-02,Sunday,Special,87,75,84,71,13
2025-03-03,Monday,Lunch,277,251,265,242,23
2025-03-04,Tuesday,Regular,209,191,196,179,17
2025-03-05,Wednesday,Regular,195,165,169,159,10
2025-03-06,Thursday,Lunch,173,166,169,161,8
2025-03-07,Friday,Breakfast,150,130,135,129,6
2025-03-08,Saturday,Special,152,130,133,124,9
2025-03-09,Sunday,Lunch,92,80,90,76,14
2025-03-10,Monday,Regular,267,238,268,226,42
